Number of edges in matching: 18
{('v_bv', 'b_bv'), ('o_tt', 'rh_end_tt_2'), ('g_gy1', 'rc_end_north'), ('b_end_east', 'g_gy2'), ('v_end_east', 'rs_end_north'), ('rh_end_tt_1', 'b_bw'), ('rd_end_south', 'b_end_west'), ('rd_end_north', 'rh_end_north'), ('o_y_tt_end_west', 'nature_end_west'), ('y_rh', 'rh_end_south'), ('y_gy1', 'rc_end_south'), ('b_tt_3', 'rt_end_north'), ('b_v', 'v_end_west'), ('y_rt', 'rt_end_south'), ('w_bw', 'g_w'), ('rs_end_south', 'y_gy2'), ('o_rt', 'o_w_1'), ('rh_end_tt_4', 'rh_end_tt_3')}
         1637436 function calls (1618545 primitive calls) in 26.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       67    0.002    0.000    0.003    0.000 pyparsing.py:4442(__init__)
       12    0.002    0.000    0.031    0.003 artist.py:1337(get_setters)
        1    0.002    0.002    0.002    0.002 {method 'destroy' of '_macosx.FigureManager' objects}
     4046    0.002    0.000    0.004    0.000 typing.py:646(_is_dunder)
2549/2207    0.002    0.000    0.003    0.000 artist.py:213(stale)
   260/11    0.002    0.000    0.005    0.000 pyparsing.py:1647(_parseNoCache)
     1226    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
     1633    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1265(_path_importer_cache)
      478    0.002    0.000    0.027    0.000 transforms.py:1399(transform)
     1520    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      942    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      279    0.002    0.000    0.008    0.000 artist.py:972(update)
     4213    0.002    0.000    0.002    0.000 inspect.py:2809(<genexpr>)
  619/175    0.002    0.000    0.109    0.001 deprecation.py:384(wrapper)
     6586    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
        4    0.002    0.000    0.002    0.000 {built-in method gc.collect}
      909    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
      213    0.002    0.000    0.002    0.000 {pandas._libs.lib.infer_dtype}
    13343    0.002    0.000    0.002    0.000 inspect.py:2539(kind)
      909    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(cb)
      905    0.002    0.000    0.002    0.000 functools.py:64(wraps)
     1396    0.002    0.000    0.002    0.000 artist.py:189(axes)
     1747    0.002    0.000    0.036    0.000 artist.py:1356(is_alias)
     1241    0.002    0.000    0.019    0.000 __init__.py:655(__setitem__)
      612    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
  377/265    0.002    0.000    0.018    0.000 typing.py:347(__getitem__)
     1612    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap>:376(cached)
      425    0.002    0.000    0.034    0.000 artist.py:1290(get_valid_values)
      760    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
     3901    0.002    0.000    0.002    0.000 inspect.py:158(isfunction)
      954    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  723/256    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
       94    0.002    0.000    0.050    0.001 backend_bases.py:1425(__init__)
      753    0.002    0.000    0.002    0.000 graph.py:820(add_edge)
     5422    0.002    0.000    0.002    0.000 generic.py:10(_check)
       96    0.002    0.000    0.049    0.001 backend_bases.py:1304(__init__)
    10964    0.002    0.000    0.002    0.000 inspect.py:2527(name)
       18    0.002    0.000    0.007    0.000 matching.py:425(addBlossom)
      549    0.002    0.000    0.002    0.000 typing.py:172(_collect_type_vars)
      523    0.002    0.000    0.015    0.000 series.py:868(__getitem__)
     1878    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     1136    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
     1317    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:389(parent)
      760    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      377    0.001    0.000    0.014    0.000 transforms.py:2183(get_affine)
      411    0.001    0.000    0.005    0.000 copy.py:66(copy)
     3739    0.001    0.000    0.002    0.000 enum.py:562(__new__)
      911    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:147(__enter__)
     5430    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       13    0.001    0.000    0.003    0.000 enum.py:456(<listcomp>)
      209    0.001    0.000    0.058    0.000 sre_compile.py:759(compile)
      760    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     1096    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(dot)
     2224    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
        1    0.001    0.001   23.787   23.787 cpp.py:40(main)
       12    0.001    0.000    0.030    0.002 artist.py:1262(get_aliases)
      199    0.001    0.000    0.002    0.000 __init__.py:1682(normalize_kwargs)
       89    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     2656    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:863(__enter__)
  572/286    0.001    0.000    0.006    0.000 transforms.py:2374(inverted)
     2656    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:867(__exit__)
      880    0.001    0.000    0.170    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      265    0.001    0.000    0.002    0.000 typing.py:219(_remove_dups_flatten)
       39    0.001    0.000    0.008    0.000 lines.py:269(__init__)
        1    0.001    0.001    0.001    0.001 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1826    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     7473    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
      209    0.001    0.000    0.006    0.000 sre_compile.py:536(_compile_info)
     6271    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      506    0.001    0.000    0.004    0.000 font_manager.py:962(_json_decode)
      494    0.001    0.000    0.008    0.000 transforms.py:1765(frozen)
      760    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
   1107/7    0.001    0.000    3.261    0.466 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      697    0.001    0.000    0.002    0.000 __init__.py:2271(_check_shape)
      399    0.001    0.000    0.003    0.000 enum.py:65(__setitem__)
      718    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
      212    0.001    0.000    0.005    0.000 cast.py:1310(maybe_cast_to_datetime)
        1    0.001    0.001    0.001    0.001 _xlrd.py:10(_XlrdReader)
       94    0.001    0.000    0.083    0.001 backend_bases.py:2984(mouse_move)
     2281    0.001    0.000    0.001    0.000 {built-in method from_bytes}
   436/86    0.001    0.000    1.589    0.018 {built-in method builtins.__import__}
      760    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
      888    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
       94    0.001    0.000    0.135    0.001 backend_bases.py:1880(motion_notify_event)
      286    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
      213    0.001    0.000    0.015    0.000 construction.py:390(sanitize_array)
       89    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
  107/106    0.001    0.000    0.001    0.000 transforms.py:375(bounds)
     1600    0.001    0.000    0.005    0.000 re.py:188(match)
      911    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:151(__exit__)
      331    0.001    0.000    0.004    0.000 fromnumeric.py:70(_wrapreduction)
      499    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
  545/402    0.001    0.000    0.001    0.000 transforms.py:158(_invalidate_internal)
      697    0.001    0.000    0.007    0.000 path.py:98(__init__)
     3748    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      141    0.001    0.000    0.006    0.000 deprecation.py:168(deprecate)
        1    0.001    0.001    0.001    0.001 linalg.py:2170(lstsq)
      230    0.001    0.000    0.002    0.000 transforms.py:1969(translate)
       89    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      466    0.001    0.000    0.005    0.000 transforms.py:2433(composite_transform_factory)
     1375    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      495    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
      316    0.001    0.000    0.031    0.000 overrides.py:166(decorator)
      147    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
      156    0.001    0.000    0.003    0.000 transforms.py:766(__init__)
      976    0.001    0.000    0.002    0.000 base.py:413(find)
       16    0.001    0.000    0.006    0.000 {built-in method builtins.eval}
      218    0.001    0.000    0.006    0.000 blocks.py:2655(get_block_type)
      411    0.001    0.000    0.003    0.000 generic.py:5141(__setattr__)
     1173    0.001    0.000    0.002    0.000 common.py:1600(_is_dtype_type)
        1    0.001    0.001    0.001    0.001 __init__.py:926(<dictcomp>)
      209    0.001    0.000    0.035    0.000 sre_parse.py:937(parse)
       12    0.001    0.000    0.002    0.000 artist.py:1273(<listcomp>)
      404    0.001    0.000    0.002    0.000 base.py:1032(__iter__)
      188    0.001    0.000    0.001    0.000 colors.py:850(<listcomp>)
       94    0.001    0.000    0.021    0.000 _base.py:3676(format_xdata)
     3187    0.001    0.000    0.001    0.000 transforms.py:1865(get_matrix)
      115    0.001    0.000    0.084    0.001 __init__.py:213(process)
      105    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      125    0.001    0.000    0.003    0.000 fromnumeric.py:39(_wrapit)
     2954    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
     4610    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x7f8e6f473f70}
      747    0.001    0.000    0.001    0.000 decorator.py:170(<listcomp>)
     2448    0.001    0.000    0.002    0.000 transforms.py:200(<lambda>)
  495/494    0.001    0.000    0.002    0.000 transforms.py:1794(transform_affine)
       94    0.001    0.000    0.023    0.000 _base.py:3686(format_ydata)
     1183    0.001    0.000    0.003    0.000 colors.py:124(_is_nth_color)
       31    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
     1824    0.001    0.000    0.002    0.000 typing.py:329(__hash__)
       99    0.001    0.000    0.001    0.000 artist.py:69(__init__)
     2224    0.001    0.000    0.004    0.000 abc.py:96(__instancecheck__)
   196/98    0.001    0.000    0.011    0.000 transforms.py:2296(frozen)
     2373    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     4410    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
       32    0.001    0.000    0.007    0.000 colors.py:776(from_list)
      955    0.001    0.000    0.002    0.000 common.py:1460(is_extension_array_dtype)
     2167    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      562    0.001    0.000    0.001    0.000 __init__.py:2045(_setattr_cm)
      409    0.001    0.000    0.002    0.000 blocks.py:124(__init__)
      477    0.001    0.000    0.002    0.000 enum.py:373(__setattr__)
        1    0.001    0.001    0.001    0.001 calendar.py:293(TextCalendar)
      757    0.001    0.000    0.001    0.000 __init__.py:916(<lambda>)
     3466    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       16    0.001    0.000    0.001    0.000 strings.py:2009(_noarg_wrapper)
      697    0.001    0.000    0.002    0.000 path.py:193(_update_values)
      760    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:939(__init__)
     3539    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     1868    0.001    0.000    0.001    0.000 decorator.py:214(<genexpr>)
  160/154    0.001    0.000    0.005    0.000 typing.py:187(_subs_tvars)
      437    0.001    0.000    0.001    0.000 _dtype.py:321(_name_get)
      211    0.001    0.000    0.001    0.000 cast.py:1187(maybe_castable)
